race	age	gender	deaths	icdcode	rate100k
asian	24	F	12	Q00-Q99	0.589028
asian	24	F	258	V01-Y89	12.664093
asian	24	M	21	A00-B99	1.040045
asian	24	M	97	C00-D48	4.804018
asian	24	M	3	D50-D89	0.148578
asian	24	M	12	E00-E88	0.594312
asian	24	M	9	F01-F99	0.445734
asian	24	M	26	G00-G98	1.287675
asian	24	M	89	I00-I99	4.407811
asian	24	M	15	J00-J98	0.742889
asian	24	M	10	K00-K92	0.49526
asian	24	M	3	M00-M99	0.148578
asian	24	M	1	N00-N98	0.049526
asian	24	M	9	Q00-Q99	0.445734
asian	24	M	765	V01-Y89	37.887361
asian	25	F	8	A00-B99	0.37604
asian	25	F	80	C00-D48	3.7604
asian	25	F	3	D50-D89	0.141015
asian	25	F	10	E00-E88	0.47005
asian	25	F	4	F01-F99	0.18802
asian	25	F	14	G00-G98	0.65807
asian	25	F	34	I00-I99	1.59817
asian	25	F	11	J00-J98	0.517055
asian	25	F	7	K00-K92	0.329035
asian	25	F	16	M00-M99	0.75208
asian	25	F	4	N00-N98	0.18802
asian	25	F	1	P00-P96	0.047005
asian	25	F	8	Q00-Q99	0.37604
asian	25	F	270	V01-Y89	12.691352
asian	25	M	20	A00-B99	0.969957
asian	25	M	104	C00-D48	5.043774
asian	25	M	9	D50-D89	0.43648
asian	25	M	13	E00-E88	0.630472
asian	25	M	4	F01-F99	0.193991
asian	25	M	22	G00-G98	1.066952
asian	25	M	88	I00-I99	4.267809
asian	25	M	18	J00-J98	0.872961
asian	25	M	16	K00-K92	0.775965
asian	25	M	7	N00-N98	0.339485
asian	25	M	10	Q00-Q99	0.484978
asian	25	M	731	V01-Y89	35.451912
asian	26	F	11	A00-B99	0.505474
asian	26	F	88	C00-D48	4.043794
asian	26	F	7	D50-D89	0.321665
asian	26	F	11	E00-E88	0.505474
asian	26	F	7	F01-F99	0.321665
asian	26	F	8	G00-G98	0.367618
asian	26	F	41	I00-I99	1.884041
asian	26	F	19	J00-J98	0.873092
asian	26	F	8	K00-K92	0.367618
asian	26	F	17	M00-M99	0.781188
asian	26	F	1	N00-N98	0.045952
asian	26	F	7	Q00-Q99	0.321665
asian	26	F	243	V01-Y89	11.166387
asian	26	M	20	A00-B99	0.966957
asian	26	M	95	C00-D48	4.593046
asian	26	M	2	D50-D89	0.096696
asian	26	M	11	E00-E88	0.531826
asian	26	M	5	F01-F99	0.241739
asian	26	M	23	G00-G98	1.112001
asian	26	M	86	I00-I99	4.157916
asian	26	M	20	J00-J98	0.966957
asian	26	M	16	K00-K92	0.773566
asian	26	M	4	M00-M99	0.193391
asian	26	M	3	N00-N98	0.145044
asian	26	M	13	Q00-Q99	0.628522
asian	26	M	718	V01-Y89	34.713761
asian	27	F	12	A00-B99	0.534259
asian	27	F	89	C00-D48	3.96242
